acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,song_title,artist
0.257,0.559,0.656,0.000171,0.2,-8.699,0.0469,79.638,0.671,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland"
0.000145,0.54,0.945,0.753,0.667,-6.64,0.0406,92.995,0.87,Fail to Cry,Yacht Club
0.273,0.793,0.7,0,0.174,-6.641,0.0572,140.058,0.887,Evil Friends (feat. Danny Brown) - Jake One Remix,Portugal. The Man
0.374,0.549,0.715,3.50E-06,0.17,-11.164,0.0633,82.118,0.785,Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi
0.00266,0.557,0.607,0.771,0.33,-10.088,0.0578,73.061,0.259,Sentimental Trash,Sweet Valley
0.000546,0.597,0.444,0.051,0.335,-8.39,0.03,120.074,0.361,Get Away,CHVRCHES
0.00781,0.879,0.512,1.45E-05,0.134,-7.83,0.0775,127.95,0.277,Look At Wrist,Father
0.125,0.726,0.497,0.89,0.104,-10.742,0.0433,125.004,0.472,Our Love,Caribou
0.00158,0.857,0.831,0,0.154,-4.664,0.0995,106.059,0.251,I Ain't Trippin off Nothin,Ezale
0.0132,0.807,0.778,0.666,0.109,-5.485,0.0399,120.001,0.797,They Don't Know - Original Mix,Disciples
0.783,0.596,0.639,0.569,0.331,-6.546,0.03,124.012,0.197,Sabali,Amadou & Mariam
0.518,0.683,0.708,2.08E-05,0.175,-6.852,0.0289,106.446,0.967,Spooky,Dusty Springfield
0.0548,0.768,0.853,0.13,0.0188,-5.915,0.0427,107.234,0.887,Pick Up The Pieces,Average White Band
0.727,0.506,0.948,0,0.0904,-5.626,0.105,130.195,0.936,Have Love Will Travel,The Sonics
0.000313,0.457,0.918,0.000215,0.769,-5.295,0.0471,105.018,0.297,Capitol,TR/ST
0.34,0.468,0.58,0.821,0.0737,-8.131,0.0278,76.27,0.324,Uncast Shadow Of A Southern Myth,Parquet Courts
0.47,0.537,0.447,1.86E-05,0.0519,-8.261,0.0289,84.362,0.549,I Shall Be Released - Remastered,Nina Simone
0.855,0.515,0.217,0.463,0.598,-13.382,0.0351,80.015,0.194,Words I Don't Remember,How To Dress Well
0.00502,0.429,0.725,1.54E-05,0.266,-6.156,0.0371,82.925,0.174,To The Top,Twin Shadow
0.555,0.791,0.58,0.00155,0.116,-8.377,0.0588,81.678,0.733,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat
0.186,0.711,0.705,0,0.148,-6.248,0.252,144.053,0.403,Aquafina (feat. GoldLink & Chaz French),Falcons
0.0249,0.683,0.824,0.627,0.0533,-8.569,0.222,154.008,0.921,Hot Blur,How Sad
0.0108,0.309,0.325,0.854,0.0742,-16.4,0.0366,175.88,0.46,Summer Madness,Kool & The Gang
0.193,0.867,0.733,0.000219,0.749,-7.54,0.237,97.835,0.761,The Payback,James Brown
0.0192,0.619,0.734,0.263,0.0771,-9.366,0.0343,106.034,0.853,I'm In Love,Fool's Gold
0.00776,0.898,0.5,0.292,0.0771,-11.089,0.0571,122.281,0.868,I Need You Tonight,Punkin Machine
0.17,0.589,0.745,0.000406,0.376,-8.109,0.076,99.407,0.76,Everybody Likes Something Good,Ify Jerry Crusade
0.0221,0.606,0.668,1.65E-05,0.0527,-9.168,0.0729,158.859,0.958,Dadje Von O Von Non,Gnonnas Pédro
0.0397,0.786,0.547,0.272,0.0378,-11.416,0.262,92.603,0.68,Sugah Daddy,D'Angelo
0.0213,0.734,0.548,0,0.512,-9.682,0.386,128.289,0.72,International Players Anthem,Swishahouse
0.0454,0.812,0.676,0,0.0929,-4.502,0.0491,114.047,0.399,Swerve,ILoveMakonnen
0.00672,0.876,0.606,1.06E-05,0.14,-5.471,0.0645,127.975,0.249,Look At Wrist,Father
0.00488,0.601,0.873,0.0365,0.113,-5.866,0.0448,124.997,0.566,Let It Happen,Tame Impala
0.00419,0.748,0.741,0,0.147,-3.103,0.0531,128.077,0.533,My Way (feat. Monty),Fetty Wap
0.17,0.615,0.814,0,0.218,-3.903,0.0677,144.005,0.601,Walk,Kwabs
0.0604,0.799,0.789,0,0.0338,-8.208,0.0396,116.081,0.833,The Magnificent Seven - Remastered,The Clash
0.0571,0.398,0.776,0.0172,0.303,-7.388,0.0374,110.815,0.689,NOBO,Tijuana Panthers
0.716,0.685,0.423,0.518,0.0765,-9.031,0.0475,138.034,0.649,The Gaudy Side of Town,Gayngs
0.0151,0.706,0.581,0,0.368,-6.492,0.055,134.009,0.463,U Mad,Vic Mensa
0.228,0.63,0.98,0.00661,0.487,-4.914,0.059,108.009,0.805,Slumlord,Neon Indian
0.017,0.57,0.736,5.74E-05,0.178,-5.822,0.0844,99.86,0.267,Leave A Trace,CHVRCHES
0.247,0.525,0.643,0,0.106,-6.874,0.816,199.727,0.943,Willing & Able,Disclosure
0.123,0.698,0.793,0,0.0805,-5.332,0.105,129.948,0.46,White Girl,Shy Glizzy
0.00705,0.763,0.773,0.032,0.772,-4.722,0.0533,130.025,0.347,Maneuvering,ILoveMakonnen
0.181,0.511,0.769,0,0.0921,-7.032,0.042,129.657,0.814,Be My Baby,The Ronettes
0.378,0.506,0.813,0.0293,0.276,-5.78,0.0392,108.212,0.855,Why Don't They Let Us Fall in Love,The Ronettes
0.677,0.513,0.494,6.43E-05,0.143,-5.072,0.0315,135.894,0.521,Will You Love Me Tomorrow,The Shirelles
0.488,0.251,0.868,7.34E-06,0.818,-2.685,0.128,177.125,0.587,One Fine Day,The Chiffons
0.487,0.559,0.633,0,0.164,-3.265,0.0329,72.496,0.842,He's So Fine - 2000 Digital Remaster,The Chiffons
0.7,0.431,0.678,6.37E-06,0.199,-7.945,0.0365,135.919,0.632,Then He Kissed Me,The Crystals
0.403,0.683,0.71,0,0.086,-7.445,0.114,128.181,0.93,It's My Party,Lesley Gore
0.656,0.78,0.599,0,0.129,-10.251,0.0329,121.198,0.967,Please Mr. Postman,The Marvelettes
0.00904,0.614,0.907,0.000131,0.36,-2.536,0.143,122.906,0.354,Fiesta - Remix,Bomba Estéreo
0.141,0.661,0.531,0,0.136,-10.113,0.548,93.287,0.657,Queen's Speech 4,Lady Leshurr
0.119,0.564,0.594,0,0.536,-9.912,0.155,89.394,0.489,I Know There's Gonna Be (Good Times),Jamie xx
0.0659,0.751,0.597,0,0.0881,-6.59,0.125,123.997,0.168,With That (feat. Duke),Young Thug
0.00257,0.896,0.623,0.000258,0.039,-8.008,0.0571,134.962,0.564,Hotline Bling,Drake
0.00256,0.618,0.717,0,0.625,-5.738,0.318,190.05,0.601,679 (feat. Remy Boyz),Fetty Wap
0.0244,0.746,0.873,0,0.354,-3.803,0.128,148.075,0.808,Trap Queen,Fetty Wap
0.013,0.888,0.483,4.85E-06,0.0926,-7.797,0.154,125.008,0.221,No Type,Rae Sremmurd
0.0127,0.443,0.645,0.952,0.122,-6.24,0.0515,128.044,0.138,Chasing Heaven,Bassnectar
0.00943,0.507,0.934,0.0018,0.222,-2.325,0.188,175.954,0.472,Speakerbox (feat. Lafa Taylor),Bassnectar
0.000758,0.695,0.912,0.000103,0.302,-3.331,0.193,160.043,0.612,Movin' Bass - GTA Remix,Rick Ross
0.674,0.462,0.449,0.000632,0.0993,-9.271,0.0916,209.686,0.748,Danger and Dread,Brown Bird
0.0161,0.526,0.712,0,0.179,-6.525,0.0356,105.009,0.299,Midnight City,M83
0.107,0.645,0.924,0.0266,0.0982,-7.697,0.0569,90.852,0.886,Water No Get Enemy - Edit,Fela Kuti
0.0134,0.405,0.647,7.62E-05,0.819,-6.109,0.0482,131.952,0.204,Pyramids,Frank Ocean
0.0219,0.735,0.641,0.89,0.168,-6.177,0.0284,105.993,0.886,Hercules Theme,Hercules & Love Affair
0.0452,0.746,0.416,7.77E-05,0.12,-6.607,0.0482,132.036,0.216,Rewind,Kelela
0.0551,0.547,0.643,0,0.267,-8.904,0.227,143.064,0.187,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.
0.0224,0.634,0.609,0,0.099,-8.982,0.172,83.021,0.659,Kush,Lil Wayne
0.244,0.607,0.488,0.000177,0.113,-8.704,0.193,77.021,0.16,9,Willow
0.0668,0.704,0.647,1.93E-06,0.101,-7.874,0.171,92.002,0.694,Magnets,Disclosure
7.19E-05,0.558,0.642,0.00746,0.201,-5.206,0.0321,99.977,0.492,Don't Move,Phantogram
0.0227,0.698,0.804,0.0599,0.566,-6.616,0.111,92.001,0.786,Pussy,Brazilian Girls
0.103,0.772,0.582,6.61E-05,0.323,-5.96,0.309,172.03,0.564,Black Mags,The Cool Kids
0.0956,0.788,0.864,0,0.335,-5.767,0.0335,133.295,0.678,Stay Fly - Explicit Album Version,Three 6 Mafia
0.00919,0.944,0.839,0,0.0921,-4.141,0.108,136.019,0.891,Sippin On Some Syrup,Three 6 Mafia
0.354,0.729,0.795,0,0.536,-4.579,0.144,146.747,0.853,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia
0.00469,0.721,0.621,0.0103,0.199,-4.378,0.306,159.967,0.578,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall
0.00102,0.798,0.751,3.22E-06,0.0271,-6.335,0.263,162.003,0.482,Gold and a Pager,The Cool Kids
0.0512,0.851,0.387,0,0.0996,-13.584,0.334,116.629,0.365,Smell Yo D*ck,Riskay
0.0252,0.34,0.805,0,0.138,-3.397,0.0387,167.922,0.654,Don't Wanna Lose,Ex Hex
0.221,0.767,0.891,0.0723,0.0935,-6.426,0.0402,122.026,0.779,Endless Rhythm,Baio
0.937,0.772,0.635,0.018,0.0961,-8.412,0.0536,168.039,0.592,Demon,Shamir
2.13E-05,0.259,0.847,0.823,0.133,-6.298,0.0332,150.162,0.682,Nothing Ever Happened,Deerhunter
0.284,0.633,0.77,0,0.308,-6.954,0.327,149.97,0.324,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels
0.0962,0.654,0.292,0.0031,0.106,-12.977,0.474,153.547,0.111,River,Ibeyi
0.334,0.726,0.583,0.00135,0.122,-6.434,0.23,140.943,0.48,The Buzz (feat. Mataya & Young Tapz),Hermitude
0.0648,0.855,0.638,0,0.162,-4.968,0.143,122.967,0.433,All Day,Kanye West
0.185,0.704,0.431,0.0972,0.249,-7.893,0.131,146.003,0.349,Blood On the Money,Future
0.689,0.658,0.179,0,0.17,-10.866,0.0448,128.128,0.197,River,Leon Bridges
0.000472,0.502,0.833,0.043,0.352,-4.982,0.0638,142.053,0.593,Trust Me Danny,ILoveMakonnen
0.00157,0.79,0.676,0,0.25,-6.432,0.271,132.002,0.314,Big Rings,Drake
0.0233,0.738,0.849,0.0317,0.309,-6.246,0.0822,95.987,0.863,Annie,Neon Indian
0.00212,0.777,0.739,0.868,0.109,-9.089,0.039,119.992,0.201,Acamar,Frankey
0.0734,0.791,0.779,0,0.0832,-5.972,0.235,110.037,0.581,Alright,Kendrick Lamar
0.19,0.735,0.41,0,0.341,-8.735,0.2,114.812,0.16,Know Yourself,Drake
0.188,0.556,0.582,0.911,0.229,-10.65,0.0357,131.023,0.516,Deicide,Crystal Castles
0.461,0.427,0.465,5.52E-05,0.154,-6.595,0.0291,112.137,0.462,Coming Home,Leon Bridges
0.0111,0.563,0.81,2.71E-05,0.142,-9.158,0.0372,99.996,0.767,Hercules Theme 2014,Hercules & Love Affair
0.0496,0.753,0.708,0.0123,0.0872,-7.217,0.223,115.004,0.445,Forever,Majid Jordan
0.149,0.785,0.764,0.813,0.201,-5.245,0.04,93.984,0.961,Next to You,Poolside
0.0682,0.557,0.608,0.0263,0.196,-7.657,0.0862,109.67,0.211,Papi Pacify,FKA twigs
0.489,0.594,0.42,0.00452,0.0833,-8.467,0.031,140.04,0.311,Magnolia,Young & Sick
0.000259,0.644,0.758,0.0708,0.0726,-7.859,0.0458,108.99,0.752,Dark Matter,Feathers
0.217,0.704,0.657,0.000118,0.0888,-7.172,0.35,150.058,0.804,Callie (feat. Vic Mensa),Donnie Trumpet
0.0472,0.849,0.408,0,0.101,-8.67,0.284,99.876,0.337,Wu-Tang Forever,Drake
0.228,0.628,0.568,0.0183,0.0906,-10.695,0.14,191.404,0.618,Fame (2007 Remastered),David Bowie
0.00689,0.717,0.862,0,0.321,-4.736,0.054,130.021,0.512,We Dem Boyz,Wiz Khalifa
0.0109,0.584,0.68,1.03E-06,0.129,-4.685,0.0524,104.89,0.326,Ego Free Sex Free,Autre Ne Veut
0.0246,0.586,0.806,0.000167,0.353,-9.542,0.0548,110.325,0.207,Her Fantasy,Matthew Dear
0.00399,0.648,0.85,0.294,0.35,-6.277,0.0439,112.014,0.559,Little People (Black City),Matthew Dear
0.037,0.807,0.785,0.000763,0.18,-7.928,0.148,124.051,0.421,Confess To Me,Disclosure
0.0789,0.577,0.941,0.207,0.342,-4.338,0.0422,99.995,0.381,Let Me Show You Love,Cut Copy
0.141,0.5,0.593,6.21E-06,0.0969,-4.34,0.0898,68.456,0.325,New Slaves,Kanye West
0.108,0.804,0.708,0.0636,0.0528,-5.099,0.0394,141.996,0.966,Sexy Socialite,Chromeo
0.0108,0.787,0.658,0.0152,0.13,-5.379,0.0324,110.983,0.867,Okay,Holy Ghost!
0.0107,0.246,0.784,5.71E-06,0.0825,-5.004,0.0529,153.027,0.189,Weight,Mikal Cronin
0.0107,0.882,0.743,0.00152,0.327,-6.972,0.141,123.97,0.678,When A Fire Starts To Burn,Disclosure
0.0315,0.628,0.824,0.543,0.0999,-7.983,0.112,122.01,0.86,When A Fire Starts To Burn - Midland Remix,Disclosure
0.00807,0.451,0.79,0,0.0394,-4.261,0.0461,127.142,0.674,Fake Tales Of San Francisco,Arctic Monkeys
0.64,0.518,0.385,0.000536,0.0931,-11.125,0.0286,100.878,0.264,Billie Holiday,Warpaint
0.0414,0.774,0.901,4.84E-06,0.873,-5.398,0.216,128.024,0.768,Goody Two Shoes,Duck Sauce
0.0127,0.547,0.635,5.01E-06,0.0585,-5.569,0.137,113.678,0.496,The Wire,HAIM
0.0585,0.552,0.878,0.892,0.0746,-5.767,0.0353,176.057,0.603,Awake,Tycho
0.00856,0.542,0.946,5.38E-06,0.386,-6.307,0.0505,108.496,0.389,Man I Need,Jagwar Ma
0.019,0.695,0.94,0.8,0.623,-2.935,0.127,100.262,0.337,N.O. Bounce,Big Freedia
0.0488,0.633,0.492,0.00047,0.0758,-7.672,0.0524,114.845,0.357,Now Is Not The Time,CHVRCHES
0.365,0.312,0.445,0.0038,0.13,-7.202,0.0305,97.967,0.308,No Rest For The Wicked,Lykke Li
0.17,0.43,0.436,0,0.128,-4.816,0.119,90.053,0.22,Holdin On,Flume
0.0346,0.19,0.908,0.0369,0.241,-4.679,0.111,148.951,0.181,Rocking Chair,The Districts
0.0361,0.312,0.907,0.618,0.363,-6.571,0.229,120.286,0.122,Marriage,Gold Panda
0.00818,0.539,0.582,0.0717,0.15,-7.414,0.0328,95.07,0.249,Ride On / Right On,Phosphorescent
0.613,0.698,0.878,1.61E-05,0.518,-0.307,0.314,182.126,0.816,GodLovesUgly,Atmosphere
0.00275,0.476,0.818,0.757,0.279,-7.933,0.0318,159.089,0.745,New York City,Christopher Owens
0.064,0.568,0.936,0.00099,0.148,-6.365,0.0504,150.067,0.792,Moving to the Left,Woods
0.00192,0.558,0.74,8.97E-06,0.129,-6.22,0.0448,118.293,0.214,All These Things That I've Done,The Killers
0.0212,0.604,0.894,0,0.0299,-5,0.037,145.014,0.893,Junk of the Heart (Happy),The Kooks
0.0516,0.718,0.921,0.0473,0.315,-3.978,0.0375,121.922,0.898,When The Night Falls - feat. Solange Knowles,Chromeo
0.0855,0.737,0.545,9.32E-05,0.153,-8.536,0.362,140.086,0.438,Mercy,Kanye West
0.0293,0.769,0.712,2.12E-06,0.103,-4.692,0.029,120.975,0.948,Don't You Evah,Spoon
0.00731,0.567,0.506,0.205,0.103,-8.742,0.0264,116.392,0.354,We Exist,Arcade Fire
0.000467,0.817,0.588,1.51E-06,0.0911,-6.603,0.0399,119.934,0.448,Le Goudron (Edit),YACHT
0.0411,0.767,0.912,0.402,0.0288,-1.157,0.054,144.084,0.496,Double Bubble Trouble,M.I.A.
0.000195,0.77,0.895,0.897,0.0455,-8.102,0.0488,120.986,0.678,Careless,Dusky
0.827,0.712,0.77,0.548,0.0726,-13.187,0.0345,106.963,0.973,Look at You,George McCrae
0.39,0.706,0.577,0.692,0.407,-6.226,0.0299,96.056,0.385,How Did I Get Here,ODESZA
0.00471,0.542,0.799,0.0161,0.0814,-3.641,0.0354,92.215,0.426,Black Out Days,Phantogram
0.827,0.583,0.776,3.81E-05,0.298,-5.293,0.0661,126.536,0.782,Bang! Bang!,Joe Cuba
0.0628,0.727,0.548,0.526,0.133,-7.393,0.0291,107.826,0.93,Every 1's A Winner - Single Version,Hot Chocolate
0.00919,0.45,0.782,0.101,0.123,-6.769,0.0364,173.954,0.209,Unbound,Cathedrals
0.0027,0.602,0.764,0.0053,0.0822,-4.897,0.0435,105.997,0.468,Operate,ASTR
0.385,0.415,0.681,0,0.101,-4.104,0.189,171.893,0.372,Blood On The Leaves,Kanye West
0.0304,0.614,0.838,0.000297,0.166,-6.896,0.028,127.971,0.584,Come Save Me,Jagwar Ma
0.105,0.901,0.744,7.79E-06,0.0964,-3.484,0.283,135.95,0.606,Hannah Montana,Migos
0.359,0.7,0.986,0.0221,0.963,-4.403,0.0573,123.033,0.64,High School Lover,Cayucas
0.119,0.583,0.843,0,0.602,-7.416,0.409,108.066,0.422,They Come in Gold,Shabazz Palaces
0.0112,0.6,0.586,0.535,0.115,-9.414,0.0296,129.952,0.193,Tides of Neptune,Virgo
0.251,0.786,0.706,0.213,0.142,-6.212,0.0537,120.011,0.318,Cocaine Model,ZHU
0.0696,0.512,0.821,0.33,0.0998,-7.442,0.0334,149.988,0.396,Light House,Future Islands
0.403,0.791,0.664,0,0.61,-5.713,0.0831,149.939,0.96,Pass The Dutchie,Musical Youth
0.849,0.533,0.213,0.565,0.449,-13.437,0.0342,80.004,0.196,Words I Don't Remember,How To Dress Well
0.0862,0.731,0.75,0.000388,0.202,-10.457,0.0321,135.406,0.648,I Would Die 4 U,Prince
0.000156,0.853,0.532,0.88,0.0643,-13.443,0.121,99.989,0.499,Bless My Soul,Nightmares On Wax
0.0398,0.674,0.501,0.000123,0.0818,-12.907,0.0579,107.363,0.567,Heaven And Hell Is On Earth,20th Century Steel Band
0.0448,0.788,0.617,0,0.088,-4.516,0.0651,122.065,0.13,Upper Echelon,Travis Scott
0.000686,0.745,0.857,0.2,0.022,-5.754,0.0393,115.945,0.946,Flying High (Part 1),Cloud One
0.0107,0.621,0.796,0.187,0.0719,-6.179,0.0327,140.012,0.288,Go,Grimes
0.377,0.818,0.528,0,0.131,-10.666,0.0716,120.368,0.895,Spill The Wine,Eric Burdon
0.0988,0.856,0.874,0.000472,0.339,-8.037,0.0401,122.416,0.91,Got To Give It Up (Part 1),Marvin Gaye
0.0913,0.614,0.857,0,0.069,-8.85,0.0859,85.125,0.944,Never Gonna Give You Up,Barry White
0.0778,0.729,0.527,0,0.382,-6.338,0.0708,126.012,0.23,Sanctified,Rick Ross
0.0608,0.42,0.776,0.0107,0.248,-8.827,0.0451,114.217,0.416,It #1,Ty Segall
0.011,0.757,0.578,0.00672,0.127,-3.886,0.0386,102.96,0.952,Dangerous (feat. Joywave),Big Data
0.0249,0.618,0.538,1.37E-05,0.352,-5.828,0.0319,79.925,0.299,Counting,Autre Ne Veut
0.642,0.657,0.393,4.03E-05,0.14,-7.667,0.0367,99.946,0.266,You're the Best,Wet
0.538,0.879,0.495,0.000333,0.0827,-10.584,0.0765,102.652,0.797,Estrelar,Marcos Valle
0.0172,0.496,0.54,0.0367,0.13,-7.121,0.0324,131.337,0.172,Hold On We're Going Home,ASTR
0.0639,0.742,0.945,0.165,0.131,-6.445,0.0428,112.977,0.748,Uncle ACE,Blood Orange
0.245,0.623,0.65,0.000913,0.146,-7.953,0.0274,116.74,0.884,San Francisco,Foxygen
0.00101,0.736,0.68,0.897,0.0922,-7.036,0.0361,120.995,0.0793,Stay High - Habits Remix,Tove Lo
0.254,0.482,0.96,2.43E-06,0.294,-5.269,0.126,113.263,0.539,Crosstown Traffic,Jimi Hendrix
0.0117,0.683,0.86,0.000379,0.356,-7.317,0.31,143.311,0.317,Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle
0.0626,0.697,0.655,0.774,0.353,-9.781,0.15,86.969,0.436,Marijuana,Chrome Sparks
0.479,0.631,0.626,0,0.108,-7.747,0.114,107.007,0.104,Crown Violet - Bonus Track,Azizi Gibson
0.0957,0.747,0.722,0.000519,0.208,-7.33,0.0349,100.215,0.56,Glad I Met You,D. Gookin
0.251,0.569,0.74,2.68E-06,0.134,-6.235,0.283,180.559,0.709,Dancing In The Rain,Blu
0.029,0.674,0.832,5.56E-06,0.0927,-3.593,0.0616,102.833,0.807,You Know I'm No Good - Ghostface UK Version,Amy Winehouse
0.00744,0.578,0.947,0.0816,0.105,-2.431,0.036,134.034,0.452,Kill V. Maim,Grimes
0.449,0.586,0.658,0.368,0.109,-9.71,0.0457,144.933,0.276,Life Round Here,James Blake
